timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
20000,0,0,1,0,0,0,0,0
528000,0,0,1,0,0,0,0,0
1032000,0,0,1,0,0,0,0,0
1236000,0,0,1,0,0,0,0,0
1512000,0,0,1,0,0,0,0,0
2016000,0,0,1,0,0,0,0,0
2520000,0,0,1,0,0,0,0,0
3024000,0,0,1,0,0,0,0,0
3528000,0,0,1,0,0,0,0,0
4032000,0,0,1,0,0,0,0,0
4536000,0,0,1,0,0,0,0,0
5040000,0,0,1,0,0,0,0,0
5544000,0,0,1,0,0,0,0,0
6048000,0,0,1,0,0,0,0,0
6552000,0,0,1,0,0,0,0,0
6804000,0,0,1,0,0,0,0,0
6840000,0,0,1,0,0,0,0,0
7344000,0,0,1,0,0,0,0,0
7848000,0,0,1,0,0,0,0,0
8352000,0,0,1,0,0,0,0,0
8856000,0,0,1,0,0,0,0,0
9360000,0,0,1,0,0,0,0,0
9612000,0,0,1,0,0,0,0,0
10116000,0,0,1,0,0,0,0,0
10620000,0,0,1,0,0,0,0,0
11124000,0,0,1,0,0,0,0,0
11628000,0,0,1,0,0,0,0,0
12132000,0,0,1,0,0,0,0,0
12636000,0,0,1,0,0,0,0,0
13140000,0,0,1,0,0,0,0,0
13644000,0,0,1,0,0,0,0,0
14148000,0,0,1,0,0,0,0,0
14640000,1,0,1,0,0,0,0,0
15144000,1,0,1,0,0,0,0,0
15648000,1,0,1,0,0,0,0,0
16152000,1,0,1,0,0,0,0,0
16656000,1,0,1,0,0,0,0,0
17160000,1,0,1,0,0,0,0,0
17664000,1,0,1,0,0,0,0,0
18168000,1,0,1,0,0,0,0,0
18672000,1,0,1,0,0,0,0,0
19176000,1,0,1,0,0,0,0,0
19680000,1,0,1,0,0,0,0,0
20184000,1,0,1,0,0,0,0,0
20688000,1,0,1,0,0,0,0,0
21192000,1,0,1,0,0,0,0,0
21696000,1,0,1,0,0,0,0,0
22200000,1,0,1,0,0,0,0,0
22704000,1,0,1,0,0,0,0,0
23208000,1,0,1,0,0,0,0,0
23712000,1,0,1,0,0,0,0,0
24216000,1,0,1,0,0,0,0,0
24720000,1,0,1,0,0,0,0,0
25224000,1,0,1,0,0,0,0,0
25728000,1,0,1,0,0,0,0,0
26232000,1,0,1,0,0,0,0,0
26712000,1,0,1,0,0,0,0,0
26844000,1,0,1,0,0,0,0,0
26868000,1,0,1,0,0,0,0,0
26976000,1,0,1,0,0,0,0,0
27036000,1,0,1,0,0,0,0,0
27372000,1,0,1,0,0,0,0,0
27408000,1,0,1,0,0,0,0,0
27744000,1,0,1,0,0,0,0,0
27804000,1,0,1,0,0,0,0,0
27840000,1,0,1,0,0,0,0,0
27876000,1,0,1,0,0,0,0,0
28044000,1,0,1,0,0,0,0,0
28068000,1,0,1,0,0,0,0,0
28236000,1,0,1,0,0,0,0,0
28272000,1,0,1,0,0,0,0,0
28704000,1,0,1,0,0,0,0,0
28740000,1,0,1,0,0,0,0,0
29244000,1,0,1,0,0,0,0,0
29508000,1,0,1,0,0,0,0,0
29544000,1,0,1,0,0,0,0,0
30036000,1,0,1,0,0,0,0,0
30072000,1,0,1,0,0,0,0,0
30168000,1,0,1,0,0,0,0,0
30204000,1,0,1,0,0,0,0,0
30444000,1,0,1,0,0,0,0,0
30468000,1,0,1,0,0,0,0,0
30636000,1,0,1,0,0,0,0,0
30672000,1,0,1,0,0,0,0,0
30708000,1,0,1,0,0,0,0,0
30744000,1,0,1,0,0,0,0,0
30804000,1,0,1,0,0,0,0,0
30840000,1,0,1,0,0,0,0,0
31344000,1,0,1,0,0,0,0,0
31476000,1,0,1,0,0,0,0,0
31512000,1,0,1,0,0,0,0,0
31572000,1,0,1,0,0,0,0,0
31608000,1,0,1,0,0,0,0,0
31644000,1,0,1,0,0,0,0,0
31668000,1,0,1,0,0,0,0,0
32004000,1,0,1,0,0,0,0,0
32040000,1,0,1,0,0,0,0,0
32112000,1,0,1,0,0,0,0,0
32136000,1,0,1,0,0,0,0,0
32208000,1,0,1,0,0,0,0,0
32244000,1,0,1,0,0,0,0,0
32436000,1,0,1,0,0,0,0,0
32472000,1,0,1,0,0,0,0,0
32508000,1,0,1,0,0,0,0,0
32544000,1,0,1,0,0,0,0,0
32568000,1,0,1,0,0,0,0,0
32604000,1,0,1,0,0,0,0,0
32640000,1,0,1,0,0,0,0,0
32676000,1,0,1,0,0,0,0,0
32940000,1,0,1,0,0,0,0,0
32976000,1,0,1,0,0,0,0,0
33240000,1,0,1,0,0,0,0,0
33276000,1,0,1,0,0,0,0,0
33444000,1,0,1,0,0,0,0,0
33468000,1,0,1,0,0,0,0,0
33708000,1,0,1,0,0,0,0,0
33768000,1,0,1,0,0,0,0,0
33876000,1,0,1,0,0,0,0,0
33912000,1,0,1,0,0,0,0,0
34416000,1,0,1,0,0,0,0,0
34440000,1,0,1,0,0,0,0,0
34476000,1,0,1,0,0,0,0,0
34704000,1,0,1,0,0,0,0,0
34740000,1,0,1,0,0,0,0,0
34872000,1,0,1,0,0,0,0,0
34908000,1,0,1,0,0,0,0,0
35004000,1,0,1,0,0,0,0,0
35040000,1,0,1,0,0,0,0,0
35136000,1,0,1,0,0,0,0,0
35172000,1,0,1,0,0,0,0,0
35676000,1,0,1,0,0,0,0,0
35712000,1,0,1,0,0,0,0,0
35736000,1,0,1,0,0,0,0,0
36240000,1,0,1,0,0,0,0,0
36276000,1,0,1,0,0,0,0,0
36312000,1,0,1,0,0,0,0,0
36336000,1,0,1,0,0,0,0,0
36372000,1,0,1,0,0,0,0,0
36540000,1,0,1,0,0,0,0,0
36576000,1,0,1,0,0,0,0,0
36744000,1,0,1,0,0,0,0,0
36768000,1,0,1,0,0,0,0,0
36936000,1,0,1,0,0,0,0,0
36972000,1,0,1,0,0,0,0,0
37236000,1,0,1,0,0,0,0,0
37272000,1,0,1,0,0,0,0,0
37476000,1,0,1,0,0,0,0,0
37512000,1,0,1,0,0,0,0,0
37572000,1,0,1,0,0,0,0,0
37608000,1,0,1,0,0,0,0,0
37812000,1,0,1,0,0,0,0,0
37908000,1,0,1,0,0,0,0,0
38004000,1,0,1,0,0,0,0,0
38040000,1,0,1,0,0,0,0,0
